"","Country","Region","Market","Product","Date","Open","High","Low","Close","Currency"
"","Cameroon","Market Average","Market Average","maize","2021-02-01","223.56","236.24","211.41","236.24","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-03-01","236.28","248.89","223.66","233.27","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-04-01","233.26","245.22","220.76","220.76","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-05-01","220.73","238.47","209.47","238.47","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-06-01","238.52","251.05","226","250.49","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-07-01","250.52","263.48","237.55","247.07","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-08-01","247.06","262.23","234.69","262.23","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-09-01","262.27","275.54","249","258.76","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-10-01","258.75","271.48","246.01","249.5","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-11-01","249.48","261.64","228.95","228.95","XAF"
"","Cameroon","Market Average","Market Average","maize","2021-12-01","228.91","262.69","217.2","262.69","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-01-01","262.79","278.37","239.84","239.84","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-02-01","239.79","253.91","216.82","216.82","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-03-01","216.77","229.62","203.93","220.68","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-04-01","220.69","232.99","208.4","224.24","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-05-01","224.25","236.14","212.35","232.13","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-06-01","232.15","244.11","220.19","237.9","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-07-01","237.91","249.84","225.99","235.07","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-08-01","235.06","246.54","223.14","223.14","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-09-01","223.11","234.08","212.15","221.02","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-10-01","221.01","241.22","210.38","241.22","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-11-01","241.28","253.69","228.86","238.62","XAF"
"","Cameroon","Market Average","Market Average","maize","2022-12-01","238.61","250.5","226.72","238.24","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-01-01","238.24","250.42","226.67","250.42","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-02-01","250.45","262.71","238.19","255.13","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-03-01","255.14","267.41","242.86","264.27","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-04-01","264.3","276.98","251.62","269.19","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-05-01","269.2","281.96","256.45","266.08","XAF"
"","Cameroon","Market Average","Market Average","maize","2023-06-01","266.07","283.78","253.6","283.78","XAF"
